rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
43,268.11485,261.23,6.018700,4,78,6.634192,5.961328,0.360534,11,4.888029,5.069169,0.014
43,493.2152,261.23,4.364176,2,89,6.611641,5.974381,0.371557,11,2.563748,3.052104,0.030
43,251.25008,261.24,5.043755,2,78,6.610993,5.961328,0.380317,12,3.568223,3.958143,0.020
43,289.0458,261.26,4.219323,6,89,6.492942,5.782914,0.335051,9,2.402495,2.906088,0.052
43,243.10949,261.27,4.552425,9,31,5.086307,4.317536,0.301949,11,2.496228,3.384974,0.082
43,518.19591,261.32,4.370143,6,82,6.598459,5.974381,0.383008,11,2.923059,3.272958,0.025
43,451.18738,261.33,5.227887,4,52,6.518442,5.961328,0.470648,13,3.660373,3.945459,0.079
43,494.27335,261.35,4.124178,2,40,5.462943,4.774553,0.431053,11,1.929349,2.803122,0.073
43,526.207,261.36,4.793441,13,30,5.446039,4.768301,0.478089,11,3.138875,3.415979,0.075
43,313.11491,261.36,5.084934,13,38,5.425399,4.724088,0.371449,12,3.480911,3.751942,0.075
43,161.13208,261.37,3.843544,2,45,6.219770,5.840907,0.634810,7,2.045140,2.637400,0.016
43,501.1698,261.37,4.564666,2,89,6.590336,5.961328,0.398844,5,2.872211,3.244551,0.450
43,201.16211,261.37,4.307068,5,35,6.409039,5.974381,0.592417,8,3.064297,3.198049,0.092
43,501.17243,261.37,4.373647,5,99,6.576745,6.022337,0.418907,8,2.715972,3.071292,0.350
43,817.17318,261.37,3.948999,9,65,6.400734,5.919566,0.515408,11,2.402739,2.833471,0.094
43,445.16594,261.37,4.316390,30,87,6.578495,6.022337,0.417222,12,2.822916,3.150750,0.130
43,283.07785,261.37,3.993304,5918,18,5.980753,5.515465,0.704328,7,1.995503,2.427590,0.090
43,699.28899,261.39,3.755875,11,25,5.161511,4.310491,0.367996,6,1.813990,2.387345,0.270
43,509.18548,261.40,3.943890,3,25,5.309059,4.587369,0.467377,14,2.293170,2.569564,0.049
43,259.10537,261.40,4.498311,3,30,5.308458,4.724223,0.553825,6,2.954870,3.441400,0.024
43,271.10621,261.40,3.771587,5,25,4.990657,4.244833,0.424012,10,2.480980,2.837339,0.011
43,531.16187,261.40,4.386499,5,27,5.355715,4.724088,0.436097,12,2.748856,3.029869,0.039
43,399.23336,261.42,4.294246,3,67,6.527253,5.873326,0.380222,11,2.717233,3.082056,0.036
43,609.18761,261.42,5.222456,10,73,6.604443,5.961328,0.386097,11,3.875190,4.128978,0.067
43,679.17841,261.46,4.096562,3,87,6.559505,6.022337,0.435871,13,2.444008,2.801831,0.037
43,165.053,261.47,6.216166,21,73,6.593953,5.961328,0.395536,11,5.114518,5.209823,0.110
43,215.0663,261.37,4.663041,6351,95,6.623735,5.974381,0.361353,11,3.151574,3.537673,0.052
43,417.15454,261.55,3.870872,11,86,6.524873,6.022337,0.472052,12,2.342459,2.880358,0.153
43,587.20241,261.37,4.724931,6351,69,6.522882,6.022337,0.474221,11,3.011869,3.321545,0.013
43,593.23824,261.56,4.225309,13,29,5.416178,4.841197,0.487211,12,2.531106,2.883248,0.110
43,283.0801,261.58,3.962653,5,89,6.614130,5.869901,0.293749,13,2.450002,2.714267,0.092
43,389.18369,261.58,3.966001,13,18,4.944014,4.263688,0.474701,6,2.067267,2.589231,0.038
43,406.20427,261.61,4.142076,25,41,6.375923,5.974381,0.613590,11,2.404381,2.841717,0.026
43,695.22322,261.61,5.373831,6,67,6.563658,5.961328,0.424112,11,4.217897,4.338414,0.120
